//Starting Program
Trial: 1 1
Trial Type 2
On 2001
Off 3501
ITI 7002
Trial: 2 27002
Trial Type 2
On 29002
RPoke 29532
Off 30502
Lick 31683
Lick 31835
Lick 31889
Lick 32237
Lick 32309
Lick 32870
Lick 32971
Reward 33005
ITI 34006
Lick 34072
Lick 34181
Lick 34282
Lick 34383
Lick 34484
Lick 34585
Lick 34686
Lick 34787
Lick 34888
Lick 34989
Lick 35090
Lick 35191
Lick 35292
Lick 35393
Lick 35483
Lick 35584
Lick 35685
Lick 35731
Lick 35833
Lick 35934
Lick 36035
Lick 36136
Lick 36237
Lick 36338
Lick 36439
Lick 36469
Lick 36672
Lick 36774
Lick 36875
Lick 36976
Lick 37078
Lick 37179
Lick 37280
Lick 37381
Lick 37482
Lick 37583
Lick 37684
Lick 37785
Lick 37886
Lick 37987
Lick 38088
Lick 38189
Lick 38290
Lick 38391
Lick 38492
Lick 38593
Lick 38694
Lick 38795
Lick 38896
Lick 38992
Lick 39079
Lick 39180
Lick 39281
Lick 39382
Lick 39483
Lick 39665
Lick 39724
Lick 39825
Lick 39926
Lick 40027
Lick 40128
Lick 40229
Lick 40330
Lick 40431
Lick 40532
Lick 40633
Lick 40734
Lick 40835
Lick 40936
Lick 41037
Lick 41138
Lick 41239
Lick 41340
Lick 41441
Lick 41542
Lick 41643
Lick 41744
Lick 41845
Lick 41946
Lick 42047
Lick 42262
Lick 42363
Lick 42464
Lick 42565
Lick 42667
Lick 42711
Lick 42813
Lick 42914
Lick 43015
Trial: 3 46006
Trial Type 2
On 48006
Off 49506
RPoke 49608
Lick 51643
Lick 51688
Lick 51717
Lick 51912
Reward 52008
Lick 52036
Lick 52116
Lick 52217
Lick 52318
Lick 52436
Lick 52537
Lick 52627
Lick 52729
Lick 52830
Lick 52861
Lick 52998
ITI 53008
Lick 53098
Lick 53199
Lick 53300
Lick 53401
Lick 53584
Lick 53686
Lick 53783
Lick 53884
Lick 53985
Lick 54086
Lick 54545
Lick 54646
Lick 54747
Lick 54848
Lick 54949
Trial: 4 73008
Trial Type 2
On 75008
Off 76508
Lick 77763
Lick 77917
Lick 78018
Lick 78153
Lick 78347
