//Starting Program
Trial: 1 1
Trial Type 1
On 2001
Off 3501
ITI 7002
Trial: 2 23002
Trial Type 1
On 25003
Off 26503
ITI 30004
Trial: 3 46004
Trial Type 2
On 48004
Off 49504
ITI 53005
Lick 55023
Lick 55079
Lick 55595
Lick 55940
Lick 56000
Lick 56093
Lick 56522
Lick 56623
Trial: 4 73005
Trial Type 1
On 75005
Off 76505
RPoke 78611
RPoke 79136
ITI 80006
Lick 84292
Lick 84762
Lick 84864
Lick 85045
Trial: 5 96006
Trial Type 2
RPoke 97042
On 98006
Off 99506
RPoke 100875
Reward 102008
ITI 103008
Lick 103809
Lick 103957
Lick 104058
Lick 104159
Lick 104260
Lick 104361
Lick 104462
Lick 104563
Lick 104664
Lick 104765
Lick 104866
Lick 104967
Lick 105068
Lick 105169
Lick 105270
Lick 105371
Lick 105472
Lick 105573
Lick 105674
Lick 105775
Lick 105876
Lick 105977
Lick 106078
Lick 106179
Lick 106280
Lick 106381
Lick 106482
Lick 106583
Lick 106684
Lick 106785
Lick 106886
Lick 106987
Lick 107088
Lick 107189
Lick 107290
Lick 107392
Lick 107493
Lick 107594
Lick 107695
Lick 107796
Lick 107897
Lick 107998
Lick 108099
Lick 108200
Lick 108301
Lick 108402
Lick 108503
Lick 108604
Trial: 6 111008
Trial Type 2
On 113008
Off 114508
ITI 118009
Lick 118534
Lick 118669
Lick 119356
Lick 119457
Lick 119901
Lick 120032
Lick 120132
Lick 120189
Lick 120291
Lick 120392
Lick 120559
Lick 120629
Lick 120730
Trial: 7 126009
Trial Type 2
RPoke 127479
On 128009
Off 129509
RPoke 130119
Lick 131708
Lick 131815
Lick 131916
Lick 132008
Reward 132012
Lick 132327
Lick 132428
Lick 132490
Lick 132591
Lick 132706
Lick 132806
Lick 132921
ITI 133012
Lick 133052
Lick 133158
Lick 133279
Lick 133400
Lick 133501
Lick 133518
Lick 133619
Lick 133662
Lick 133794
Lick 133896
Lick 133937
Lick 134054
Lick 134155
Lick 134197
Lick 134298
Lick 134400
Lick 134501
Lick 134602
Lick 134703
Lick 134804
Lick 134905
Lick 135006
Lick 135107
Lick 135208
Lick 135309
Lick 135410
